Altura,Peso
187,64.9
186,65.9
181,66.8
195,75.1
181,77.5
163,64.3
187,80.0
184,78.5
178,70.8
170,66.6
165,61.8
173,62.6
185,84.6
172,70.8
162,56.4
186,71.3
184,67.3
170,55.2
195,76.3
166,64.2
193,83.5
174,57.2
167,62.8
175,67.6
160,52.9
181,78.8
178,61.1
190,81.8
161,63.8
175,72.8
188,78.4
172,67.6
178,78.1
191,71.8
179,68.5
160,48.8
178,60.0
190,88.6
188,75.2
185,82.6
164,56.9
166,54.6
192,82.4
166,64.8
189,86.6
193,85.0
185,69.5
178,74.2
193,77.8
161,64.2
170,66.5
160,56.8
178,60.1
194,80.3
176,64.8
182,72.1
160,55.7
166,53.0
180,78.2
191,67.8
162,53.8
194,72.5
185,83.5
186,64.1
169,64.5
161,54.6
193,81.6
172,61.2
166,64.0
190,75.4
176,58.3
186,74.7
188,86.1
193,70.1
177,75.3
173,59.3
181,81.5
176,65.2
190,70.5
187,71.7
179,73.1
174,57.6
170,55.1
181,65.6
161,63.3
166,63.9
179,70.9
185,63.5
168,64.2
164,64.8
189,88.0
193,92.1
164,50.1
162,57.6
193,74.1
190,81.8
173,71.5
176,63.7
194,82.0
189,81.1
192,90.3
180,62.4
168,67.4
161,57.2
175,73.2
181,64.0
181,61.7
163,53.3
163,63.1
177,59.8
163,62.3
182,64.5
178,61.8
192,89.7
165,52.0
163,65.3
166,66.7
177,68.5
193,83.4
166,57.4
174,66.8
172,61.2
190,79.4
187,68.1
184,79.9
176,67.3
173,74.3
169,67.8
171,61.7
193,83.6
186,74.3
169,70.4
164,66.5
186,78.3
185,73.2
178,69.4
177,61.8
188,85.2
173,74.3
164,59.2
187,74.6
182,77.6
170,54.3
165,60.6
176,65.5
194,76.1
175,57.2
162,54.2
174,59.3
183,65.7
167,60.4
182,80.2
186,73.5
167,53.3
164,60.5
184,80.9
194,81.2
171,63.3
163,56.7
192,78.1
169,53.4
172,71.6
170,63.4
177,63.2
192,90.9
177,62.4
180,76.3
184,69.5
178,71.9
173,58.6
182,72.4
172,61.9
190,68.8
162,63.8
161,56.9
189,76.7
169,57.0
182,61.6
183,73.0
172,71.4
189,66.3
184,75.8
179,79.2
178,70.0
162,49.1
161,59.5
177,63.5
189,75.7
188,65.7
179,70.6
195,71.2
192,74.5
175,60.8
178,73.8
170,60.3
192,86.6
169,66.5
163,56.6
176,57.9
173,68.5
173,67.5
176,65.8
176,67.7
192,69.8
162,63.9
188,86.1
160,52.2
169,59.6
169,59.2
173,60.6
183,80.5
195,85.5
180,67.5
172,66.2
177,69.1
164,59.2
180,78.7
186,77.2
167,59.1
194,80.9
192,88.6
169,57.3
181,61.8
161,62.6
174,62.7
172,58.7
183,70.4
191,82.1
165,55.4
185,75.5
184,74.0
160,56.1
167,58.5
184,77.3
188,66.6
171,61.0
186,81.9
193,90.0
177,60.8
169,56.0
194,83.0
188,85.4
164,53.6
189,75.9
184,82.9
191,83.2
191,73.3
185,78.7
182,68.9
161,63.9
170,65.4
183,69.5
191,71.0
186,65.6
182,68.8
164,59.0
189,75.4
193,91.9
160,54.4
164,54.2
164,57.7
177,64.8
190,84.0
173,67.0
193,84.9
178,76.7
186,84.2
161,56.0
173,58.2
178,75.7
173,70.6
171,59.1
179,73.1
193,86.6
181,78.6
167,62.6
174,71.1
179,73.2
184,66.3
169,59.7
169,56.6
192,81.1
162,57.5
168,56.0
166,59.6
169,57.7
186,80.6
169,69.7
165,52.1
184,68.9
171,72.1
161,59.7
160,62.3
178,71.1
186,74.2
181,80.2
167,63.6
194,92.9
192,89.4
181,63.7
179,74.4
193,69.7
189,85.1
184,83.5
161,56.5
183,72.9
161,60.2
185,73.5
172,61.6
166,68.3
176,57.8
184,80.7
182,75.0
164,57.4
189,87.6
191,79.6
165,51.4
174,61.1
191,84.7
161,61.0
192,75.1
162,50.6
185,66.0
171,67.7
188,85.9
168,68.0
194,82.7
185,80.6
184,63.8
176,72.1
170,70.0
188,83.3
167,52.1
161,56.5
175,70.8
171,62.5
167,65.2
163,50.7
193,88.0
174,73.2
167,61.9
173,63.9
172,55.4
168,67.6
183,75.1
165,51.4
187,71.0
179,67.4
191,84.2
178,64.4
178,69.9
168,58.7
166,59.1
194,78.8
167,57.0
195,83.8
165,61.6
192,90.0
179,76.9
192,74.8
176,65.8
169,62.4
183,75.2
173,72.9
188,72.5
185,77.2
161,63.2
172,65.5
168,69.8
179,69.7
181,62.6
178,73.6
188,69.6
170,59.3
166,61.6
160,49.9
172,57.8
160,48.3
189,73.5
185,81.0
171,67.4
180,66.0
187,83.2
161,60.6
166,59.5
165,62.4
173,70.7
191,85.9
167,59.8
173,67.0
184,78.1
165,67.1
178,74.6
180,75.0
160,49.8
163,64.8
162,48.6
182,66.8
194,84.1
164,63.1
168,53.7
171,61.5
177,73.8
174,68.8
162,51.3
171,66.0
180,78.0
186,66.6
167,53.4
189,69.8
169,62.2
164,51.3
187,73.4
162,49.6
173,65.0
162,55.5
171,56.2
183,65.9
172,73.0
178,73.5
169,65.9
162,60.4
177,76.6
188,82.2
191,89.3
186,65.6
160,54.1
175,68.4
192,83.1
191,89.9
171,61.7
178,69.5
191,83.1
180,73.4
187,66.8
182,62.2
169,53.0
167,67.0
172,58.7
184,78.8
183,76.2
183,70.8
194,88.3
189,81.5
178,69.2
160,53.2
173,59.1
167,62.7
180,64.0
184,64.4
164,57.5
194,76.8
176,72.6
188,74.4
173,69.6
191,72.0
188,82.8
163,54.1
160,54.8
164,56.2
189,76.9
167,68.2
162,61.6
166,61.0
164,54.6
163,65.4
185,72.9
168,66.4
165,58.0
175,62.6
183,70.3
185,74.2
195,87.4
166,64.0
187,77.9
184,80.3
195,90.7
191,67.7
181,72.7
170,54.3
193,85.9
175,61.7
164,56.8
165,58.8
189,67.3
177,59.4
192,72.1
161,53.0
190,78.1
193,84.0
195,72.3
179,70.1
175,57.9
160,62.1
186,80.3
164,57.4
172,65.6
166,56.7
165,55.9
181,72.5
178,67.9
186,70.8
192,89.0
178,59.4
173,72.9
160,55.1
174,68.4
176,66.5
177,66.5
186,80.3
183,75.2
171,70.8
175,73.6
170,59.5
189,81.7
187,83.0
185,70.9
182,66.9
183,78.5
175,65.8
161,52.6
184,79.2
179,78.8
175,60.0
173,64.8
176,64.0
174,67.2
169,57.6
194,90.0
168,58.9
166,63.8
178,76.3
188,70.3
173,63.7
164,52.1
184,80.7
183,63.6
185,70.4
181,65.2
186,75.0
171,56.2
195,72.7
186,73.8
166,65.5
169,53.7
185,72.4
168,67.6
170,62.9
177,67.7
179,64.8
177,62.8
189,81.3
182,74.3
180,78.8
175,57.4
183,65.6
192,80.8
170,64.2
168,61.2
160,54.0
162,63.2
168,61.0
182,82.1
169,57.1
162,56.9
184,74.6
189,84.4
163,62.7
187,66.1
165,61.5
162,62.2
162,65.3
163,60.8
163,59.2
183,75.0
189,79.0
177,59.7
189,86.5
172,57.2
193,84.6
171,67.1
177,73.9
177,77.8
195,85.8
169,54.6
194,89.3
180,62.2
176,63.4
160,51.5
176,76.5
174,56.9
178,64.6
190,85.7
166,66.2
183,76.1
168,59.2
161,51.1
195,76.7
169,59.4
195,76.0
168,67.5
163,53.6
190,69.0
179,76.8
190,76.5
175,57.9
184,78.2
179,63.3
191,76.2
160,61.7
191,75.6
164,64.2
161,55.3
177,68.0
187,67.1
188,85.3
188,69.6
176,62.7
160,63.2
182,65.9
186,72.3
165,66.2
183,67.0
177,74.9
164,65.2
174,65.2
175,69.5
172,60.6
173,64.4
164,54.0
175,65.8
191,88.1
164,55.5
172,65.6
175,64.0
161,52.4
194,83.5
163,49.3
163,62.9
184,84.2
192,74.4
174,66.1
175,70.3
195,75.4
185,75.0
160,59.6
162,61.0
182,69.8
178,60.2
186,74.6
160,61.7
188,85.3
170,64.9
160,61.6
161,62.2
172,54.9
193,69.3
164,51.6
161,59.3
193,72.6
194,72.5
170,55.6
190,78.7
165,60.4
184,64.9
188,75.7
186,80.1
193,71.1
182,77.1
183,64.9
175,64.8
192,75.2
194,91.7
192,83.4
194,84.2
161,51.9
188,85.0
160,51.7
189,82.6
162,64.8
163,57.5
166,52.0
166,66.9
172,64.6
175,60.4
186,77.4
177,64.4
194,77.6
164,60.5
178,75.2
161,63.8
186,81.9
186,65.4
183,65.2
192,72.9
190,78.3
188,87.9
163,55.4
179,71.3
173,64.7
189,88.6
165,51.4
170,59.8
180,62.3
164,60.4
186,78.1
184,71.1
192,84.3
178,73.4
185,68.6
166,56.9
164,52.6
173,73.5
187,75.7
166,62.7
194,89.6
189,88.9
191,76.4
194,92.9
172,67.9
189,76.5
179,72.4
185,69.9
190,79.1
177,72.0
171,66.8
160,58.5
181,72.8
160,52.2
191,74.2
191,87.8
172,58.9
189,76.5
164,52.4
182,72.2
181,79.8
170,59.5
167,53.8
160,57.0
163,50.1
195,87.9
189,88.8
176,71.6
171,61.0
171,57.9
185,73.1
194,80.5
160,54.1
179,69.9
166,53.1
187,83.5
179,77.2
176,71.5
178,69.8
166,59.2
165,66.5
168,67.9
169,65.7
191,80.8
165,54.6
185,64.1
181,77.5
163,56.9
173,63.2
185,81.2
169,62.1
195,81.1
192,69.1
172,69.7
191,86.6
164,49.8
164,58.0
169,68.5
194,73.9
163,62.7
166,62.5
161,56.4
195,72.7
181,73.4
195,87.4
195,71.4
180,79.1
165,52.8
174,64.1
181,75.8
174,56.7
181,63.8
161,58.5
174,74.3
184,76.0
188,70.3
161,59.7
182,64.0
178,77.4
181,73.2
160,53.9
193,77.6
181,73.0
193,80.9
165,52.9
190,67.8
166,56.4
176,60.5
168,55.6
191,67.9
195,83.5
186,84.1
170,58.1
168,63.5
194,92.6
171,56.3
186,79.8
162,59.3
195,80.5
178,75.4
160,49.5
173,58.6
186,76.1
166,61.9
186,73.0
181,80.6
189,66.8
164,63.4
191,89.2
165,65.1
167,58.0
191,79.2
195,85.9
162,54.5
187,83.9
165,63.4
193,84.6
170,58.6
194,86.5
183,65.3
186,65.3
183,83.2
188,75.4
170,56.1
169,53.0
187,79.3
169,60.8
164,59.5
189,84.0
182,80.2
184,79.0
163,60.6
161,60.1
162,58.7
171,63.6
193,70.3
175,70.6
177,66.1
176,71.4
163,52.8
188,73.5
165,53.8
193,73.3
183,73.4
187,81.9
171,58.2
175,60.3
162,57.3
176,59.2
172,67.6
161,61.9
172,64.5
189,74.1
181,79.7
184,68.3
194,89.5
170,71.6
160,53.6
190,77.4
189,72.4
172,62.4
182,70.8
173,66.0
194,93.5
182,61.4
183,78.9
165,60.9
194,91.1
178,75.0
164,50.8
183,80.3
183,76.5
166,53.9
161,49.5
164,50.4
187,73.2
192,84.4
191,74.2
189,85.9
179,72.6
189,87.8
174,74.5
171,65.2
167,67.5
183,77.5
190,82.7
184,75.9
170,70.2
162,53.6
169,60.6
193,80.1
194,73.7
184,78.7
171,60.5
173,62.2
191,76.6
194,90.1
175,75.6
184,76.6
188,80.6
183,75.0
165,63.7
167,68.6
160,62.7
176,69.1
176,75.3
182,80.2
191,73.7
174,64.9
169,57.2
172,58.4
183,80.3
195,73.3
167,61.5
161,56.0
168,53.1
189,77.7
181,63.3
177,62.3
169,60.5
192,77.2
184,72.9
167,63.2
177,71.5
164,51.3
170,58.4
195,85.4
171,63.2
168,54.8
184,81.5
166,59.7
190,67.3
171,70.0
165,64.5
172,55.9
180,72.8
194,84.0
179,63.4
177,61.2
173,71.9
165,57.5
175,71.5
170,63.7
164,60.3
160,48.1
169,64.7
172,71.7
